class,probs,preds
1,0.99999964,1
0,0.005149603,0
1,0.9991826,1
1,0.9999984,1
1,0.99781334,1
0,4.1037798e-05,0
1,0.9994459,1
1,0.9964652,1
1,0.9991416,1
1,0.9993347,1
0,0.012109578,0
0,0.003431946,0
1,0.99999917,1
1,0.99863285,1
1,0.97906303,1
1,0.99983054,1
0,0.0003759563,0
1,0.97091264,1
1,0.963306,1
1,0.99462306,1
1,0.33843952,0
0,0.050219208,0
1,0.98821163,1
1,0.99953246,1
1,0.93558526,1
1,0.9990301,1
1,0.99576885,1
0,0.07412976,0
0,0.004383415,0
1,0.9621836,1
1,0.999768,1
1,0.9872968,1
1,0.99724334,1
1,0.9999833,1
0,0.0065443814,0
0,0.006031841,0
0,0.039247155,0
1,0.97959745,1
1,0.9993756,1
0,0.0014572442,0
1,0.44344157,0
0,0.0069520175,0
0,0.00038823485,0
1,0.99998987,1
0,1.6450882e-05,0
1,0.7692246,1
0,0.00707978,0
0,0.0077556074,0
1,0.9994403,1
1,0.9999943,1
0,0.0034308434,0
0,0.00022923946,0
0,0.0003761351,0
0,0.004394293,0
0,0.00033846498,0
0,0.0027412176,0
1,0.9998958,1
0,0.004247725,0
0,0.005153984,0
0,0.005800158,0
1,0.9989934,1
1,0.99986684,1
0,0.0018827915,0
1,0.9993328,1
0,0.021410286,0
1,0.9999995,1
1,0.9640808,1
1,0.9997681,1
1,0.9999937,1
0,0.0006638169,0
1,0.99851733,1
0,0.0041958094,0
1,0.99970335,1
0,0.013277203,0
0,0.008801401,0
0,0.0077546835,0
1,0.99989474,1
0,0.0016098917,0
0,0.012371361,0
1,0.99999195,1
0,0.00775522,0
0,0.0077553988,0
0,0.00014194846,0
0,0.0060323477,0
0,0.013704628,0
0,0.0026227832,0
1,0.9982554,1
0,0.0016029775,0
1,0.9676204,1
1,0.94682515,1
0,0.0043452084,0
1,0.99993163,1
0,0.0051576793,0
1,0.9987556,1
1,0.9885776,1
1,0.999771,1
0,0.05419621,0
1,0.99837995,1
0,0.015055954,0
1,0.99688935,1
1,0.9996547,1
0,0.006031364,0
1,0.9873625,1
1,0.99980307,1
1,0.99991584,1
0,0.00022020936,0
1,0.99981904,1
0,0.00487262,0
1,0.99568903,1
0,6.66976e-05,0
1,0.99472773,1
1,0.97481614,1
0,0.0059455633,0
0,0.015055716,0
1,0.98116124,1
1,0.9466955,1
0,0.0023537874,0
0,0.014077038,0
1,0.99888146,1
1,0.995313,1
1,0.9999869,1
1,0.99720615,1
1,0.9999801,1
0,0.0051542222,0
1,0.30305293,0
0,0.007755697,0
0,0.003431201,0
0,0.0052998066,0
0,0.009973586,0
1,0.9959403,1
1,0.999998,1
0,0.00820443,0
0,0.0027509332,0
1,0.9995948,1
0,0.0014458895,0
0,2.8043985e-05,0
1,0.99665016,1
1,0.9999715,1
1,0.9938679,1
1,0.9748279,1
1,0.9999319,1
0,0.00037261844,0
0,0.014362246,0
1,0.9998135,1
0,0.005803019,0
1,0.9998671,1
0,0.008230776,0
1,0.99994564,1
0,0.004248053,0
0,0.01103422,0
0,0.0012016892,0
0,0.0021743178,0
0,0.012528688,0
0,0.011995226,0
0,0.019685417,0
1,0.9882156,1
1,0.9976561,1
0,0.014712125,0
0,0.0055791438,0
0,0.0054719746,0
0,0.0009288192,0
1,0.9999857,1
1,0.9954557,1
0,0.002739191,0
0,6.827712e-05,0
0,0.004345149,0
1,0.99969137,1
1,0.99630606,1
1,0.9999878,1
0,0.08946335,0
1,0.9999967,1
1,0.99068916,1
0,0.0005070865,0
1,0.99996924,1
0,0.0056322217,0
1,0.999877,1
0,0.00979057,0
0,0.005940318,0
0,0.00016403198,0
1,0.9989574,1
0,0.0002720058,0
0,0.0023946762,0
0,0.0027516484,0
0,0.014715582,0
0,0.0020613372,0
1,0.9999653,1
1,0.98880666,1
0,0.025497496,0
0,0.0051404834,0
1,0.9999739,1
0,0.02090472,0
0,0.0058496,0
0,0.0014826655,0
0,0.0004631877,0
1,0.99999225,1
1,0.9999827,1
1,0.2249124,0
0,0.021195173,0
0,0.0069399476,0
0,0.011047423,0
0,0.010620743,0
0,0.019557208,0
1,0.99980587,1
0,0.0007017851,0
1,0.99862915,1
0,0.0013665557,0
0,0.0059443116,0
1,0.9999917,1
1,0.99996585,1
1,0.98659945,1
0,0.0056327283,0
0,0.0014345348,0
1,0.99707496,1
1,0.98785865,1
1,0.99996924,1
0,0.015169859,0
0,0.007162273,0
1,0.9998574,1
1,0.9998524,1
1,0.99974304,1
0,0.00580135,0
1,0.99940586,1
0,0.0049002767,0
1,0.99999195,1
0,0.020267695,0
0,0.00066426396,0
0,0.014085472,0
0,3.07858e-05,0
1,0.9999231,1
1,0.9991897,1
0,1.809001e-05,0
0,0.0040555,0
1,0.045479268,0
1,0.99785805,1
1,0.9999902,1
0,0.0051537454,0
1,0.99998385,1
0,0.00011625886,0
1,0.9994401,1
1,0.9999827,1
1,0.9978132,1
0,0.00797078,0
1,0.9999991,1
1,0.9991944,1
1,0.99766207,1
1,0.9999814,1
0,0.0069506764,0
1,0.9999825,1
0,0.0010553896,0
0,0.00029069185,0
1,0.9739206,1
1,0.99619967,1
0,0.00095176697,0
1,0.99998784,1
1,0.16053191,0
0,0.0011750758,0
1,0.9999998,1
0,0.09953776,0
1,0.9987819,1
1,0.9888364,1
1,0.9878605,1
1,0.9999413,1
1,0.76952064,1
0,0.0012065768,0
1,0.9999366,1
0,0.009733468,0
0,0.008801699,0
1,0.99974036,1
0,0.0026948154,0
1,0.96163857,1
1,0.999958,1
0,0.0034167469,0
0,0.009146422,0
0,0.04284036,0
1,0.99997383,1
1,0.9734049,1
0,0.0027287006,0
1,0.996257,1
0,0.006293088,0
1,0.99993175,1
0,0.016941726,0
0,0.007083893,0
0,0.0031794012,0
1,0.99531287,1
1,0.9999255,1
0,0.006032169,0
0,0.00018277764,0
0,0.004345536,0
0,0.02475828,0
1,0.9984585,1
1,0.97969294,1
1,0.9919587,1
0,0.0031794608,0
1,0.9999658,1
1,0.8127776,1
1,0.9999421,1
0,4.10676e-05,0
0,0.00013121963,0
0,0.00028827786,0
0,0.00023052096,0
0,4.5746565e-05,0
0,0.036631554,0
0,0.018788606,0
1,0.9992062,1
1,0.9999827,1
0,0.0011116564,0
0,4.3064356e-05,0
0,0.012694448,0
0,0.0046323836,0
0,0.005140394,0
1,0.3759848,0
0,1.8030405e-05,0
1,0.0055936575,0
0,0.0077548325,0
0,0.013598949,0
0,0.0043443143,0
1,0.9999964,1
1,0.04750371,0
0,0.0027369559,0
1,0.99445105,1
1,0.9229927,1
1,0.99999154,1
0,0.0056565106,0
0,0.007970512,0
1,0.9999801,1
0,0.012747645,0
1,0.9998659,1
0,0.0045054555,0
1,0.9999986,1
0,0.053082973,0
0,0.007757604,0
0,0.0070841014,0
1,0.9999902,1
0,0.0071709156,0
1,0.99890196,1
1,0.99542654,1
0,0.00066679716,0
0,4.211068e-05,0
0,0.011518955,0
1,0.9997461,1
1,0.9998214,1
1,0.99472535,1
0,0.005632609,0
1,0.9999776,1
1,0.99132013,1
0,0.0011223853,0
1,0.99975884,1
1,0.99565756,1
1,0.99997115,1
0,1.3500452e-05,0
1,0.9954463,1
1,0.9545505,1
0,0.004619479,0
1,0.99949,1
0,0.00020363927,0
0,0.010504484,0
1,0.94717085,1
1,0.9999051,1
1,0.99764204,1
1,0.9995623,1
1,0.9640827,1
0,0.0069518387,0
0,0.012747914,0
1,0.9984503,1
1,0.9999709,1
0,0.010461241,0
0,0.012348473,0
1,0.9988122,1
1,0.9777696,1
1,0.9975096,1
1,0.99996537,1
0,0.0058000386,0
0,0.0054700077,0
0,7.399917e-05,0
0,0.0043450594,0
1,0.999997,1
0,0.020203024,0
0,0.006950289,0
0,5.736947e-05,0
1,0.9988942,1
1,0.9999967,1
1,0.9999868,1
0,0.06515446,0
0,0.007758409,0
0,0.0042572916,0
0,0.0076205134,0
0,0.019552678,0
1,0.98821396,1
1,0.99452364,1
0,0.011033326,0
0,0.0016836226,0
0,0.0060859323,0
0,0.010360807,0
1,0.99927413,1
0,0.019557923,0
1,0.9791733,1
0,0.0011803806,0
0,0.00314489,0
0,0.0057997704,0
0,0.0019437373,0
1,0.99998343,1
0,0.011034429,0
0,0.007971555,0
1,0.9848968,1
0,0.008655548,0
1,0.99968356,1
0,0.0034323335,0
0,0.0003376603,0
0,0.010892242,0
0,0.0036183,0
1,0.99389565,1
0,0.0069393218,0
1,0.99132067,1
1,0.99916303,1
0,0.009413809,0
0,0.19602367,0
0,0.005806774,0
0,6.875396e-05,0
0,0.0049070716,0
0,0.0011430681,0
0,0.004344046,0
0,0.010421485,0
1,0.99995786,1
1,0.9997848,1
0,0.00016894937,0
1,0.98778427,1
1,0.964086,1
0,0.0028907955,0
1,0.99991024,1
0,2.5063753e-05,0
0,0.0042480826,0
0,0.005150795,0
0,0.0069517493,0
0,0.015057594,0
1,0.99927866,1
1,0.99614525,1
0,0.0020603538,0
0,4.0888786e-05,0
1,0.99601376,1
1,0.99997765,1
1,0.9971062,1
1,0.99760664,1
0,0.00028032064,0
0,0.010052383,0
1,0.9999595,1
0,0.00030609965,0
0,0.0013793409,0
1,0.9998797,1
0,0.00050881505,0
1,0.9795813,1
1,0.99956,1
0,0.008754849,0
0,0.005141884,0
1,0.993507,1
0,0.00087863207,0
0,0.0077183843,0
0,4.0888786e-05,0
1,0.9999982,1
1,0.9919603,1
0,0.048904926,0
0,0.007525474,0
1,0.99998605,1
1,0.98544806,1
1,0.013712227,0
0,0.00011610985,0
0,0.00021618605,0
1,0.99904025,1
1,0.99949974,1
1,0.99998134,1
1,0.99999404,1
1,0.9999839,1
0,0.0018787384,0
1,0.9471633,1
0,0.004251331,0
1,0.9840182,1
0,0.0042470396,0
1,0.9999881,1
0,0.0039083064,0
1,0.99988866,1
1,0.997826,1
0,0.016663939,0
1,0.9997076,1
1,0.999908,1
0,0.007759452,0
1,0.9999751,1
1,0.99933183,1
1,0.9832469,1
0,4.5120716e-05,0
0,0.0020133257,0
1,0.9914159,1
1,0.99971825,1
0,0.0035833418,0
0,0.00434348,0
0,0.0034302175,0
1,0.9992068,1
1,0.9999316,1
0,0.013701439,0
0,0.0015315115,0
0,0.002737075,0
0,0.005156845,0
0,0.014650196,0
0,0.000328511,0
1,0.97907066,1
0,0.0021499693,0
0,0.0002873242,0
0,0.00037944317,0
0,0.018089026,0
0,0.013005525,0
0,0.005941093,0
1,0.9939189,1
0,0.00080922246,0
0,0.00014746189,0
0,0.00999862,0
1,0.9998383,1
1,0.99444926,1
1,0.99998266,1
0,0.02089125,0
0,0.0035858452,0
1,0.99917626,1
0,0.014079362,0
0,0.0040492117,0
0,0.0031791627,0
1,0.9999827,1
0,0.001213938,0
1,0.9894272,1
0,0.010963142,0
1,0.99445236,1
1,0.9954579,1
1,0.9999876,1
1,0.99704367,1
1,0.99992776,1
1,0.9850835,1
1,0.97963905,1
0,9.3489885e-05,0
1,0.9999478,1
1,0.9999989,1
1,0.99996567,1
1,0.9993218,1
1,0.999876,1
0,0.012522191,0
1,0.9853366,1
0,0.012751877,0
1,0.926512,1
1,0.99975276,1
0,0.00016456842,0
1,0.9795928,1
0,0.0051555037,0
0,0.0034338236,0
0,0.000998795,0
0,0.009146661,0
1,0.9814007,1
1,0.9765138,1
1,0.9985956,1
0,0.0016103983,0
1,0.9978577,1
1,0.9996757,1
1,0.9640767,1
0,0.0011126399,0
1,0.9999615,1
1,0.99993455,1
0,0.011526108,0
1,0.99961424,1
1,0.9838147,1
1,0.99542516,1
1,0.9992641,1
0,0.00066781044,0
0,0.0016665161,0
1,0.99583066,1
0,0.0020118654,0
0,0.003991246,0
0,0.008200616,0
0,0.0077593327,0
0,0.0069542825,0
0,8.6426735e-05,0
0,0.0043450594,0
1,0.9978123,1
0,0.0032852292,0
0,0.050037444,0
1,0.99953234,1
1,0.99985254,1
1,0.99998224,1
1,0.973678,1
0,0.009799331,0
1,0.9993758,1
1,0.9970554,1
1,0.9998094,1
1,0.9471818,1
0,7.9482794e-05,0
1,0.99997765,1
1,0.9999671,1
1,0.9995894,1
1,0.9999989,1
0,0.00012475252,0
1,0.9983461,1
1,0.37586564,0
0,7.379055e-05,0
0,8.7320805e-06,0
0,0.00012335181,0
0,0.009970278,0
1,0.5600154,1
0,0.0151640475,0
0,0.0060337186,0
0,4.014373e-05,0
0,0.044923604,0
1,0.9898497,1
0,0.0077162385,0
0,0.0051213205,0
0,0.031710416,0
1,0.9997609,1
0,0.0030139089,0
1,0.99997807,1
1,0.99986696,1
0,0.0004133284,0
1,0.99575746,1
0,0.00039181113,0
1,0.9878038,1
1,0.9790635,1
1,0.95548415,1
1,0.9991871,1
1,0.9999851,1
1,0.9999336,1
1,0.99998903,1
0,0.0077539384,0
1,0.97481704,1
1,0.99285066,1
0,0.020264149,0
0,0.0032593012,0
1,0.9999939,1
0,0.0026160479,0
1,0.99998856,1
0,0.011990458,0
1,0.9998887,1
0,0.007756144,0
0,0.0069519877,0
1,0.99781895,1
1,0.99068713,1
1,0.97906923,1
0,0.0029732883,0
1,0.99998975,1
1,0.99999833,1
0,0.0006530881,0
1,0.9969795,1
1,0.99899685,1
1,0.99069047,1
0,0.0077533424,0
0,0.0077581406,0
1,0.99958265,1
1,0.99118316,1
0,0.00011050701,0
1,0.9999653,1
1,0.99889314,1
1,0.94202334,1
0,0.00914529,0
0,0.031908035,0
1,0.9991577,1
1,0.8746048,1
1,0.98898315,1
1,0.99438214,1
1,0.99504304,1
1,0.9996811,1
1,0.9999814,1
0,0.0056338906,0
1,0.9999887,1
1,0.94716084,1
0,0.004248619,0
0,0.0051385164,0
0,0.0009523034,0
1,0.99943995,1
1,0.9913104,1
1,0.999925,1
1,0.9999398,1
1,0.9978136,1
1,0.9813248,1
0,0.0028981864,0
0,0.0041980445,0
1,0.9999827,1
1,0.99997437,1
0,0.0032881796,0
1,0.86319125,1
0,0.009789199,0
0,0.007974595,0
0,4.479289e-05,0
1,0.9878602,1
0,0.015276909,0
0,0.0019813478,0
1,0.999648,1
1,0.9853313,1
0,0.009796798,0
1,0.9999893,1
1,0.99998,1
0,0.00012731552,0
1,0.99997807,1
0,0.0010581017,0
0,0.00013715029,0
1,0.998134,1
0,2.861023e-05,0
0,0.0079704225,0
0,0.029106855,0
0,0.00034412742,0
1,0.9999578,1
1,0.99986356,1
1,0.9999988,1
1,0.9999882,1
1,0.9912653,1
1,0.99998856,1
0,0.00017982721,0
0,0.0035841763,0
0,0.0042484105,0
0,0.004346013,0
0,0.0001809001,0
0,0.0042490363,0
1,0.9938545,1
1,0.9949802,1
1,0.9992056,1
0,0.0009792447,0
1,0.98825675,1
0,0.00044426322,0
0,0.0051399767,0
1,0.9999539,1
0,8.967519e-05,0
1,0.9999954,1
0,0.0019925237,0
0,0.003763795,0
1,0.9999988,1
0,0.0008790791,0
0,8.127093e-05,0
1,0.93943846,1
0,0.005152732,0
0,0.007975519,0
0,0.010280371,0
1,0.13490951,0
1,0.9998095,1
0,0.002537042,0
1,0.9999501,1
1,0.9991944,1
1,0.99990284,1
0,0.036161453,0
1,0.9825785,1
0,0.009414226,0
0,0.008654565,0
1,0.97969264,1
0,3.4362078e-05,0
1,0.9999579,1
0,0.004344523,0
1,0.9821728,1
0,0.02250123,0
1,0.9998561,1
0,0.0021499693,0
0,0.00014638901,0
1,0.99477756,1
1,0.9999851,1
1,0.964087,1
0,0.001532793,0
1,0.9999734,1
0,0.006925404,0
1,0.9464363,1
0,0.005366504,0
0,0.0004824698,0
1,0.9999723,1
0,0.0070850253,0
1,0.9998549,1
0,0.007971108,0
1,0.99949634,1
1,0.9991947,1
0,0.0071193576,0
1,0.99992657,1
1,0.9994133,1
0,0.0028945804,0
0,0.0126261115,0
1,0.9999891,1
0,0.0026229322,0
0,0.00036671758,0
1,0.9999739,1
1,0.9999814,1
0,0.03787598,0
1,0.99961114,1
0,0.006100327,0
1,0.9992561,1
1,0.9999894,1
0,0.004862696,0
0,0.0051425397,0
1,0.7985786,1
1,0.99565816,1
0,0.005976528,0
1,0.033789247,0
0,0.0020953715,0
1,0.9999248,1
1,0.9999834,1
1,0.99988216,1
0,0.009791791,0
0,0.004249245,0
0,0.0067974925,0
0,0.0031109452,0
0,4.759431e-05,0
0,0.004687488,0
1,0.99370766,1
1,0.9999083,1
0,0.0014068484,0
1,0.9999952,1
1,0.15383038,0
1,0.9814061,1
1,0.9861679,1
0,0.023125201,0
1,0.9999957,1
1,0.9983914,1
0,0.011529356,0
0,0.0035856366,0
1,0.9873613,1
0,0.0058101118,0
0,0.0061528385,0
0,0.011517435,0
0,0.009966582,0
0,0.036645383,0
0,0.0077542663,0
0,0.002059877,0
0,0.0033391118,0
1,0.9811047,1
0,0.020903856,0
0,0.034160227,0
0,0.011605024,0
1,0.99996066,1
1,0.99998945,1
1,0.9184097,1
1,0.99999905,1
1,0.9920895,1
1,0.96336204,1
0,0.0042497218,0
1,0.9943216,1
1,0.9878588,1
0,0.0014865398,0
0,0.002022177,0
1,0.99864066,1
0,8.556247e-05,0
1,0.9999982,1
1,0.9853904,1
0,0.002362281,0
0,0.00042313337,0
1,0.9970066,1
1,0.99991435,1
1,0.9999607,1
0,0.007970959,0
0,0.0059435666,0
1,0.9968488,1
0,0.002150029,0
0,8.7827444e-05,0
0,0.00997135,0
0,0.007754326,0
1,0.99983203,1
0,0.0031138659,0
1,0.9971895,1
0,0.010168672,0
1,0.994726,1
1,0.99239016,1
1,0.99999976,1
0,0.008805901,0
0,0.010164231,0
0,0.00761801,0
0,0.009073049,0
0,0.0015250444,0
0,0.0020133257,0
0,0.094797134,0
0,0.042841405,0
1,0.9999847,1
1,0.9998381,1
0,0.00090542436,0
1,0.9914105,1
1,0.9994401,1
1,0.9993798,1
1,0.99370754,1
1,0.9631622,1
0,0.036183804,0
1,0.99991286,1
1,0.9777146,1
0,0.001486659,0
1,0.9472154,1
0,0.018048525,0
1,0.986593,1
0,0.00880748,0
0,0.008501083,0
1,0.9950545,1
0,0.009063154,0
0,0.0026232898,0
1,0.9999548,1
1,0.9999739,1
1,0.99997854,1
0,0.0043648183,0
1,0.9999861,1
0,0.0073648393,0
0,0.004195422,0
0,0.00079348683,0
0,0.055882484,0
0,0.0065431893,0
0,0.0006892979,0
0,0.00018337369,0
1,0.9687371,1
0,0.0059414804,0
0,0.005977273,0
1,0.99710613,1
0,0.0013236403,0
1,0.99195844,1
0,0.0028639734,0
0,0.00038719177,0
0,0.004198134,0
1,0.9997928,1
1,0.9994061,1
1,0.9999739,1
0,0.0021491945,0
0,0.008803695,0
0,0.0049804747,0
0,0.0011613667,0
0,0.0035844743,0
1,0.9999901,1
0,0.011310458,0
1,0.9925908,1
0,0.014080435,0
0,0.002150029,0
0,0.005947113,0
1,0.9999949,1
1,0.999648,1
1,0.9999598,1
1,0.9914346,1
1,0.99895424,1
1,0.999809,1
1,0.99950016,1
1,0.99850726,1
1,0.99999774,1
1,0.9914042,1
0,0.00028795004,0
0,0.009504229,0
1,0.99994296,1
0,0.005941242,0
0,0.00012034178,0
1,0.99999523,1
1,0.99890953,1
1,0.9999868,1
1,0.9999876,1
1,0.99995995,1
1,0.9922334,1
0,0.005977303,0
1,0.98731625,1
0,0.005130291,0
1,0.9640875,1
1,0.9975853,1
0,0.00419569,0
0,0.0032317638,0
1,0.9983871,1
0,0.006853938,0
1,0.9969985,1
1,0.99998164,1
0,0.013924688,0
1,0.9996679,1
1,0.9986972,1
0,0.0064239204,0
1,0.99927366,1
1,0.99998367,1
0,0.0042491555,0
1,0.99999785,1
1,0.9999951,1
0,0.013608903,0
0,0.0054892004,0
1,0.999896,1
1,0.9707073,1
0,0.027531773,0
1,0.988214,1
1,0.99988025,1
0,0.00033056736,0
0,0.006152898,0
1,0.99985677,1
1,0.9640845,1
1,0.99999857,1
1,0.99993163,1
0,0.014094859,0
1,0.9973633,1
1,0.997326,1
0,0.0019085109,0
0,9.891391e-05,0
0,0.013138294,0
0,2.1010637e-05,0
1,0.9986404,1
1,0.99998605,1
0,0.00399518,0
0,0.00012689829,0
0,0.01659149,0
0,0.005140841,0
1,0.99505365,1
1,0.98659873,1
1,0.9999729,1
0,5.888939e-05,0
0,0.003988534,0
1,0.9942989,1
0,0.0010267198,0
1,0.998106,1
1,0.99985796,1
0,0.003586918,0
0,0.0051566064,0
0,0.005929649,0
1,0.9995154,1
0,1.6510487e-05,0
0,0.010527223,0
1,0.999998,1
1,0.9966507,1
1,0.98723865,1
0,0.018823832,0
1,0.99390066,1
0,0.0033399463,0
1,0.99995464,1
0,0.003284216,0
1,0.99940014,1
0,0.010626912,0
1,0.9999733,1
1,0.9677761,1
0,0.0049031675,0
1,0.99905396,1
0,0.0065451264,0
